@relation yeast1
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {positive,negative}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.43, 0.67, 0.48, 0.27, 0.5, 0.0, 0.53, 0.22, negative
0.64, 0.62, 0.49, 0.15, 0.5, 0.0, 0.53, 0.22, negative
0.58, 0.44, 0.57, 0.13, 0.5, 0.0, 0.54, 0.22, positive
0.42, 0.44, 0.48, 0.54, 0.5, 0.0, 0.48, 0.22, negative
0.51, 0.4, 0.56, 0.17, 0.5, 0.5, 0.49, 0.22, negative
0.5, 0.54, 0.48, 0.65, 0.5, 0.0, 0.53, 0.22, negative
0.55, 0.5, 0.66, 0.36, 0.5, 0.0, 0.49, 0.22, negative
0.4, 0.39, 0.6, 0.15, 0.5, 0.0, 0.58, 0.3, negative
0.43, 0.39, 0.54, 0.21, 0.5, 0.0, 0.53, 0.27, positive
0.42, 0.37, 0.59, 0.2, 0.5, 0.0, 0.52, 0.29, positive
0.6, 0.4, 0.52, 0.46, 0.5, 0.0, 0.53, 0.22, negative
0.66, 0.55, 0.45, 0.19, 0.5, 0.0, 0.46, 0.22, negative
0.46, 0.44, 0.52, 0.11, 0.5, 0.0, 0.5, 0.22, negative
0.47, 0.39, 0.5, 0.11, 0.5, 0.0, 0.49, 0.4, negative
0.58, 0.47, 0.54, 0.11, 0.5, 0.0, 0.51, 0.26, positive
0.5, 0.34, 0.55, 0.21, 0.5, 0.0, 0.49, 0.22, positive
0.61, 0.6, 0.55, 0.21, 0.5, 0.0, 0.5, 0.25, positive
0.45, 0.4, 0.5, 0.16, 0.5, 0.0, 0.5, 0.22, negative
0.43, 0.44, 0.48, 0.22, 0.5, 0.0, 0.51, 0.22, negative
